# Update for burned area by year and fire cause
# Chris Waigl, cwaigl@alaska.edu, 2024-10-09

,FIREYEAR,Human,Natural,lightning,human,totalacres
0,1981,3211.600,502455.700,99.365,0.635,505667.300
1,1982,0.000,42709.800,100.000,0.000,42709.800
2,1983,53876.800,56883.700,51.357,48.643,110760.500
3,1984,5483.800,110237.800,95.261,4.739,115721.600
4,1985,1698.700,341751.500,99.505,0.495,343450.200
5,1986,34348.400,401905.300,92.127,7.873,436253.700
6,1987,44416.700,115533.000,72.231,27.769,159949.700
7,1988,17863.100,2069958.600,99.144,0.856,2087821.700
8,1989,10027.700,42860.400,81.040,18.960,52888.100
9,1990,383346.900,2908191.600,88.354,11.646,3291538.500
10,1991,49289.000,1602445.700,97.016,2.984,1651734.700
11,1992,35401.700,100326.600,73.917,26.083,135728.300
12,1993,1242.000,737277.600,99.832,0.168,738519.600
13,1994,5372.200,258004.100,97.960,2.040,263376.300
14,1995,3297.400,35099.700,91.412,8.588,38397.100
15,1996,188737.100,408721.700,68.410,31.590,597458.800
16,1997,16646.500,1821531.400,99.094,0.906,1838177.900
17,1998,872.400,114564.400,99.244,0.756,115436.800
18,1999,24485.000,974751.700,97.550,2.450,999236.700
19,2000,13909.900,749570.100,98.178,1.822,763480.000
20,2001,209547.600,10585.800,4.809,95.191,220133.400
21,2002,419065.460,1650547.810,79.752,20.248,2069613.270
22,2003,24274.545,576397.545,95.959,4.041,600672.090
23,2004,39180.100,6611151.800,99.411,0.589,6650331.900
24,2005,10373.200,4854500.900,99.787,0.213,4864874.100
25,2006,132712.600,126230.600,48.748,51.252,258943.200
26,2007,59029.600,587124.900,90.864,9.136,646154.500
27,2008,1583.000,94407.000,98.351,1.649,95990.000
28,2009,53716.800,2888852.800,98.174,1.826,2942569.600
29,2010,103784.700,916714.400,89.830,10.170,1020499.100
30,2011,1027.900,244659.500,99.582,0.418,245687.400
31,2012,32806.200,238214.200,87.895,12.105,271020.400
32,2013,160444.600,1108719.600,87.358,12.642,1269164.200
33,2014,25981.500,9123.000,25.988,74.012,35104.500
34,2015,17170.000,5116107.500,99.666,0.334,5133277.500
35,2016,10211.700,484127.100,97.934,2.066,494338.800
36,2017,5707.300,645864.600,99.124,0.876,651571.900
37,2018,1119.800,382016.300,99.708,0.292,383136.100
38,2019,57777.600,2545428.200,97.781,2.219,2603205.800
39,2020,238.900,181351.800,99.868,0.132,181590.700
40,2021,13810.000,244459.500,94.653,5.347,258269.500
41,2022,11782.600,3099367.100,99.621,0.379,3111149.700
42,2023,47775.100,294221.500,86.031,13.969,341996.600
