,msl_row,msl_column,z_row,z_column
2004-06-01,1,4,0,0
2004-06-02,0,4,0,0
2004-06-03,0,4,1,0
2004-06-04,0,4,1,0
2004-06-05,0,4,0,0
2004-06-06,1,4,2,0
2004-06-07,2,4,2,0
2004-06-08,2,1,1,0
2004-06-09,3,3,0,0
2004-06-10,0,4,0,0
2004-06-11,0,4,0,0
2004-06-12,0,4,0,0
2004-06-13,0,3,0,0
2004-06-14,0,3,0,0
2004-06-15,0,3,0,0
2004-06-16,3,3,3,0
2004-06-17,3,2,3,0
2004-06-18,3,3,3,0
2004-06-19,3,4,3,0
2004-06-20,3,4,3,0
2004-06-21,3,3,3,0
2004-06-22,2,2,3,1
2004-06-23,2,1,3,2
2004-06-24,3,0,3,2
2004-06-25,3,2,3,1
2004-06-26,3,3,1,0
2004-06-27,3,4,1,0
2004-06-28,3,4,1,0
2004-06-29,2,4,0,0
2004-06-30,0,4,0,0
2004-07-01,0,4,0,0
2004-07-02,0,2,0,0
2004-07-03,1,0,0,1
2004-07-04,0,0,0,2
2004-07-05,0,0,0,4
2004-07-06,1,0,0,4
2004-07-07,2,1,0,4
2004-07-08,3,1,0,4
2004-07-09,2,1,0,4
2004-07-10,2,0,0,4
2004-07-11,3,0,1,4
2004-07-12,3,1,3,2
2004-07-13,2,3,3,1
2004-07-14,3,4,3,1
2004-07-15,3,4,3,1
2004-07-16,3,4,3,2
2004-07-17,0,2,3,3
2004-07-18,0,1,1,3
2004-07-19,0,1,0,3
2004-07-20,0,2,0,3
2004-07-21,2,2,0,2
2004-07-22,3,2,2,1
2004-07-23,3,2,3,2
2004-07-24,3,2,3,1
2004-07-25,3,3,3,1
2004-07-26,3,4,3,1
2004-07-27,2,3,3,1
2004-07-28,0,1,3,3
2004-07-29,1,0,2,4
2004-07-30,3,0,1,4
2004-07-31,2,0,0,4
2005-06-01,2,4,3,0
2005-06-02,0,4,1,0
2005-06-03,0,4,0,0
2005-06-04,2,4,1,1
2005-06-05,3,4,2,0
2005-06-06,2,4,3,0
2005-06-07,2,4,3,0
2005-06-08,1,4,3,0
2005-06-09,0,4,1,0
2005-06-10,0,3,0,0
2005-06-11,0,3,0,0
2005-06-12,0,4,0,0
2005-06-13,3,4,1,0
2005-06-14,3,4,1,0
2005-06-15,3,4,1,0
2005-06-16,3,4,3,0
2005-06-17,3,4,3,0
2005-06-18,3,2,3,1
2005-06-19,3,0,3,3
2005-06-20,3,3,3,2
2005-06-21,3,4,2,1
2005-06-22,3,4,2,2
2005-06-23,3,4,3,2
2005-06-24,3,4,3,3
2005-06-25,2,3,2,3
2005-06-26,2,3,1,2
2005-06-27,0,3,0,2
2005-06-28,0,1,0,2
2005-06-29,0,0,0,3
2005-06-30,0,2,0,3
